1 | Title | Definition | No
5319 | NarrativeText | Belinda Rowland, PhD Antibiotic prophylaxis see Prophylaxis | No
5321 | Title | Definition | No
5322 | NarrativeText | Antibiotics may be informally defined as the sub- group of anti-infectives that are derived from bacterial sources and are used to treat bacterial infections. Other classes of drugs, most notably the sulfonamides, may be effective antibacterials. Similarly, some antibiotics may have secondary uses, such as the use of demeclocycline (Declomycin, a tetracycline derivative) to treat the syn- drome of inappropriate antidiuretic hormone (SIADH) secretion. Other antibiotics may be useful in treating pro- tozoal infections. | No
5323 | Title | Purpose | No
5324 | NarrativeText | Antibiotics are used for treatment or prevention of bacterial infection. | No
5325 | Title | Description | No
5326 | NarrativeText | Classifications Although there are several classification schemes for antibiotics, based on bacterial spectrum (broad versus nar- row) or route of administration (injectable versus oral ver- sus topical), or type of activity (bactericidal vs. bacteriosta- tic), the most useful is based on chemical structure. Antibi- otics within a structural class will generally show similar patterns of effectiveness, toxicity, and allergic potential. | No
5327 | NarrativeText | PENICILLINS. The penicillins are the oldest class of antibiotics, and have a common chemical structure which they share with the cephalopsorins. The two groups are classed as the beta-lactam antibiotics, and are generally bacteriocidal—that is, they kill bacteria rather than inhibiting growth. The penicillins can be further subdi- vided. The natural pencillins are based on the original penicillin G structure; penicillinase-resistant penicillins, notably methicillin and oxacillin, are active even in the presence of the bacterial enzyme that inactivates most natural penicillins. Aminopenicillins such as ampicillin and amoxicillin have an extended spectrum of action compared with the natural penicillins; extended spectrum penicillins are effective against a wider range of bacteria. These generally include coverage for Pseudomonas aeruginaosa and may provide the penicillin in combina- tion with a penicillinase inhibitor. | No
5328 | NarrativeText | CEPHALOSPORINS. Cephalosporins and the closely related cephamycins and carbapenems, like the pen- cillins, contain a beta-lactam chemical structure. Conse- quently, there are patterns of cross-resistance and cross- allergenicity among the drugs in these classes. The “cepha” drugs are among the most diverse classes of antibiotics, and are themselves subgrouped into Ist, 2nd and 3rd generations. Each generation has a broader spec- trum of activity than the one before. In addition, cefox- itin, a cephamycin, is highly active against anaerobic bacteria, which offers utility in treatment of abdominal infections. The 3rd generation drugs, cefotaxime, cefti- zoxime, ceftriaxone and others, cross the blood-brain barrier and may be used to treat meningitis and encephalitis. Cephalopsorins are the usually preferred agents for surgical prophylaxis. | No
5329 | NarrativeText | FLUROQUINOLONES. The fluroquinolones are syn- thetic antibacterial agents, and not derived from bacteria. They are included here because they can be readily inter- changed with traditional antibiotics. An earlier, related class of antibacterial agents, the quinolones, were not well absorbed, and could be used only to treat urinary tract infections. The fluroquinolones, which are based on the older group, are broad-spectrum bacteriocidal drugs that are chemically unrelated to the penicillins or the cephaloprosins. They are well distributed into bone tis- sue, and so well absorbed that in general they are as effective by the oral route as by intravenous infusion. | No
5330 | NarrativeText | TETRACYCLINES. Tetracyclines got their name because they share a chemical structure that has four rings. They are derived from a species of Streptomyces bacteria. Broad-spectrum bacteriostatic agents, the tetracyclines may be effective against a wide variety of microorganisms, including rickettsia and amebic parasites. | No
5331 | NarrativeText | MACROLIDES. The macrolide antibiotics are derived from Streptomyces bacteria, and got their name because they all have a macrocyclic lactone chemical structure. Erythromycin, the prototype of this class, has a spectrum and use similar to penicillin. Newer members of the group, azithromycin and clarithyromycin, are particular- ly useful for their high level of lung penetration. Clar- ithromycin has been widely used to treat Helicobacter pylori infections, the cause of stomach ulcers. | No
5332 | NarrativeText | OTHERS. Other classes of antibiotics include the aminoglycosides, which are particularly useful for their effectiveness in treating Pseudomonas aeruginosa infec- A penicillin culture. (Photograph by P Barber, Custom Medical Stock Photo. Reproduced by permission.) | No
5333 | NarrativeText | tions; the lincosamindes, clindamycin and lincomycin, which are highly active against anaerobic pathogens. There are other, individual drugs which may have utility in specific infections. | No
5334 | Title | Recommended dosage | No
5335 | NarrativeText | Dosage varies with drug, route of administration, pathogen, site of infection, and severity. Additional con- siderations include renal function, age of patient, and other factors. Consult manufacturers’ recommendations for dose and route. | No
5336 | Title | Side effects | No
5337 | NarrativeText | All antibiotics cause risk of overgrowth by non-sus- ceptible bacteria. Manufacturers list other major hazards by class; however, the health care provider should review each drug individually to assess the degree of risk. Gen- erally, breastfeeding is not recommended while taking antibiotics because of risk of alteration to infant’s intesti- nal flora, and risk of masking infection in the infant. Excessive or inappropriate use may promote growth of resistant pathogens. | No
5338 | NarrativeText | Penicillins: Hypersensitivity may be common, and cross allergenicity with cephalosporins has been reported. Penicillins are classed as category B during pregnancy. | No
5339 | NarrativeText | Cephalopsorins: Several cephalopsorins and related compounds have been associated with seizures. Cefmeta- zole, cefoperazone, cefotetan and ceftriaxone may be | No
5340 | Title | 241 | No
5341 | Image | Antibiotic Water enters ) Cell deteriorates _ Cell is destroyed Different antibiotics destroy bacteria in different ways. Some short-circuit the processes by which bacteria receive energy. Others disturb the structure of the bacterial cell wall, as shown in the illustration above. Still others interfere with the produc- tion of essential proteins. (i//ustration by Electronic Illustrators Group.) | No
5342 | NarrativeText | associated with a fall in prothrombin activity and coagu- lation abnormalities. Pseudomembranous colitis has been reported with cephalosporins and other broad spec- trum antibiotics. Some drugs in this class may cause renal toxicity. Pregnancy category B. | No
5343 | NarrativeText | Fluroquinolones: Lomefloxacin has been associated with increased photosensitivity. All drugs in this class have been associated with convulsions. Pregnancy cate- gory C. | No
5344 | NarrativeText | Tetracyclines: Demeclocycline may cause increased photosensitivity. Minocycline may cause dizziness. Do not use tetracyclines in children under the age of eight, and specifically avoid during periods of tooth develop- ment. Oral tetracyclines bind to anions such as calcium and iron. Although doxycycline and minocycline may be taken with meals, patients must be advised to take other tetracycline antibiotics on an empty stomach, and not to take the drugs with milk or other calcium-rich foods. Expired tetracycline should never be administered. Preg- nancy category D. Use during pregnancy may cause alterations in bone development. | No
5345 | NarrativeText | reactions, including Stevens-Johnson syndrome and toxic epidermal necrolysis. Oral erythromycin may be highly irritating to the stomach and when given by injec- tion may cause severe phlebitis. These drugs should be used with caution in patients with liver dysfunction. Pregnancy category B: Azithromycin, erythromycin. Pregnancy category C: Clarithromycin, dirithromycin, troleandomycin. | No
5346 | NarrativeText | Aminoglycosides: This class of drugs causes kidney and ototoxicity. These problems can occur even with normal doses. Dosing should be based on renal function, with periodic testing of both kidney function and hear- ing. Pregnancy category D. | No
5347 | Title | Recommended usage | No
5348 | NarrativeText | To minimize risk of adverse reactions and develop- ment of resistant strains of bacteria, antibiotics should be restricted to use in cases where there is either known or a reasonable presumption of bacterial infection. The use of antibiotics in viral infections is to be avoided. Avoid use of fluroquinolones for trivial infections. | No
5349 | NarrativeText | Macrolides: Erythromycin may aggravate the weak- ness of patients with myasthenia gravis. Azithromycin has, rarely, been associated with allergic reactions, including angioedema, anaphylaxis, and dermatologic In severe infections, presumptive therapy with a broad-spectrum antibiotic such as a 3rd generation cephalosporin may be appropriate. Treatment should be changed to a narrow spectrum agent as soon as the | No
5350 | Title | 242 | No
5351 | Title | KEY TERMS | No
5352 | NarrativeText | Bacteria—Tiny, one-celled forms of life that cause many diseases and infections. | No
5353 | NarrativeText | Inflammation—Pain, redness, swelling, and heat that usually develop in response to injury or illness. | No
5354 | NarrativeText | Meningitis—Inflammation of tissues that surround the brain and spinal cord. | No
5355 | NarrativeText | Microorganism—An organism that is too small to be seen with the naked eye. | No
5356 | NarrativeText | Organism—A single, independent unit of life, such as a bacterium, a plant or an animal. | No
5357 | NarrativeText | Pregnancy category—A system of classifying drugs according to their established risks for use during pregnancy. Category A: Controlled human studies have demonstrated no fetal risk. Category B: Animal studies indicate no fetal risk, but no human studies; or adverse effects in animals, but not in well-controlled human studies. Category C: No adequate human or animal studies; or adverse fetal effects in animal studies, but no available human data. Category D: Evidence of fetal risk, but benefits outweigh risks. Category X: Evidence of fetal risk. Risks outweigh any benefits. | No
5358 | NarrativeText | pathogen has been identified. After 48 hours of treat- ment, if there is clinical improvement, an oral antibiotic should be considered. | No
5359 | Title | Resources | No
5360 | Title | PERODCALS | No
5361 | ListItem | Braffman-Miller, Judith. “Beware the Rise of Antibiotic-Resis- tant Microbes.” USA Today (Magazine) 125 (March 1997): 56. | No
5362 | ListItem | “Consumer Alert: Antibiotic Resistance Is Growing!” People’s Medical Society Newsletter 16 (August 1997): 1. | No
5363 | ListItem | Swartz, Morton N. “The Path of Least Resistance.” Harvard Health Letter 20 (April 1995): 6. | No
5364 | NarrativeText | Samuel Uretsky, PharmD | No
5366 | Title | Definition | No
5367 | NarrativeText | Ophthalmic antibiotics are medicines that kill bac- teria that cause eye infections. | No
5368 | Title | Purpose | No
5369 | NarrativeText | Ophthalmic antibiotics are applied to the eye, or under the eyelid, to treat eye infections caused by bacteria. | No
5370 | Title | Description | No
5371 | NarrativeText | The medicine described here, tobramycin (Tobrex), comes in the form of eye drops or ointment. It is avail- able only with a physician’s prescription. | No
5372 | Title | Recommended dosage | No
5373 | NarrativeText | The dosages given here are typical doses. Physicians may adjust the number of doses per day, the time between doses, and the length of treatment with the med- icine, depending on the patient’s particular medical prob- lem. If the physician’s directions are different from those given here, follow the physician’s directions. | No
5374 | NarrativeText | Be sure to follow package directions for applying drops or ointment properly. | No
5375 | Title | Adults | No
5376 | NarrativeText | EYE DROPS. For mild to moderate infections, use one to two drops in the affected eye or eyes every four hours. | No
5377 | NarrativeText | For severe infections, use two drops in the affected eye or eyes every two hours until the condition improves. At that time, the physician will determine how much to use until the infection is completely cleared up. | No
5378 | NarrativeText | OINTMENT. For mild to moderate infections, squeeze a half-inch ribbon of ointment into the affected eye or eyes two or three times a day. Do not let the tip of the ointment tube touch the eye. | No
5379 | NarrativeText | For severe infections, squeeze a half-inch ribbon of ointment into the affected eye or eyes every three to four hours until the condition improves. At that time, the physician will determine how much to use until the infection is completely cleared up. | No
5380 | Title | Children | No
5381 | NarrativeText | The child’s physician should determine the proper dose. | No
5382 | Title | Precautions | No
5383 | NarrativeText | Use this drug as often as directed, for as long as directed. Although the symptoms may have disap- peared, the infection may not clear up completely if the drug is stopped too soon. Therefore, the medication may be prescribed for several days after the infection appears to have cleared. However, it is just as important to use the drug for only as long as directed. Using it for | No
5384 | Title | 243 | No
5385 | Title | KEY TERMS | No
5386 | NarrativeText | Bacteria—Tiny, one-celled forms of life that cause many diseases and infections. | No
5387 | NarrativeText | Ointment—A thick, spreadable substance that contains medicine and is meant to be used on the skin, or, if it is specifically an ophthalmic, or “eye” ointment, in the eye too long may lead to the growth of bacteria that do not respond to the drug. These bacteria may then cause infections that can be very difficult to treat. Make sure the physician or pharmacist specifies how long the medication is to be used. | No
5388 | NarrativeText | Anyone who has had an allergic reaction to tobramycin or any other ingredients of Tobrex should not use this medicine. Be sure to tell the physician about any past reactions to the drug or its ingredients. | No
5389 | NarrativeText | Anyone who has an allergic reaction to tobramycin should stop using it immediately and call a physician. | No
5390 | NarrativeText | Women who are pregnant or breastfeeding or who plan to become pregnant should check with their physi- cians before using tobramycin. | No
5391 | Title | Side effects | No
5392 | NarrativeText | The main side effects of this medicine are itching, redness, and swelling of the eye or eyelid. Allergic reac- tions also are possible. If any of these symptoms occur, call the physician who prescribed the medicine. | No
5393 | Title | nteractions | No
5394 | NarrativeText | Patients who are using any other prescription or non- prescription (over-the-counter) medicines in their eyes should check with their physicians before using tobramycin. | No
5395 | NarrativeText | Nancy Ross-Flanigan | No
5397 | Title | Definition | No
5398 | NarrativeText | Topical antibiotics are medicines applied to the skin to kill bacteria. | No
5399 | Title | 244 | No
5400 | Title | Purpose | No
5401 | NarrativeText | Topical antibiotics help prevent infections caused by bacteria that get into minor cuts, scrapes, and burns. Treating minor wounds with antibiotics allows quicker healing. If the wounds are left untreated, the bacteria will multiply, causing pain, redness, swelling, itching, and oozing. Untreated infections can eventually spread and become much more serious. | No
5402 | NarrativeText | Different kinds of topical antibiotics kill different kinds of bacteria. Many antibiotic first-aid products con- tain combinations of antibiotics to make them effective against a broad range of bacteria. | No
5403 | NarrativeText | When treating a wound, it is not enough to simply apply a topical antibiotic. The wound must first be cleaned with soap and water and patted dry. After the antibiotic is applied, the wound should be covered with a dressing, such as a bandage or a protective gel or spray. For many years, it was thought that wounds heal best when exposed to the air. But now most experts say it is best to keep wounds clean and moist while they heal. The covering should still allow some air to reach the wound, however. | No
5404 | Title | Description | No
5405 | NarrativeText | Some topical antibiotics are available without a pre- scription and are sold in many forms, including creams, ointments, powders, and sprays. Some widely used topi- cal antibiotics are bacitracin, neomycin, mupirocin, and polymyxin B. Among the products that contain one or more of these ingredients are Bactroban (a prescription item), Neosporin, Polysporin, and Triple Antibiotic Oint- ment or Cream. | No
5406 | Title | Recommended dosage | No
5407 | NarrativeText | The recommended dosage depends on the type of topical antibiotic. Follow the directions on the package label or ask a pharmacist for directions. | No
5408 | NarrativeText | In general, topical antibiotics should be applied within four hours after injury. Do not use more than the recommended amount and do not apply it more often than three times a day. Do not apply the medicine over large areas of skin or on open wounds. | No
5409 | Title | Precautions | No
5410 | NarrativeText | Many public health experts are concerned about antibiotic resistance, a problem that can develop when antibiotics are overused. Over time, bacteria develop new defenses against antibiotics that once were effective against them. Because bacteria reproduce so quickly, these defenses can be rapidly passed on through genera- tions of bacteria until almost all are immune to the effects of a particular antibiotic. The process happens faster than new antibiotics can be developed. To help control the problem, many experts advise people to use topical antibiotics only for short periods, that is, until the wound heals, and only as directed. For the topical antibi- otic to work best, it should be used only to prevent infec- tion in a fresh wound, not to treat an infection that has already started. Wounds that are not fresh may need the attention of a physician to prevent complications such as blood poisoning. | No
5411 | NarrativeText | Topical antibiotics are meant to be used only on the skin and only for only a few days at a time. If the wound has not healed in five days, stop using the antibiotic and call a doctor. | No
5412 | NarrativeText | Do not use topical antibiotics on large areas of skin or on open wounds. These products should not be used to treat diaper rash in infants or incontinence rash in adults. | No
5413 | NarrativeText | Only minor cuts, scrapes, and burns should be treat- ed with topical antibiotics. Certain kinds of injuries may need medical care and should not be self-treated with topical antibiotics. These include: + large wounds ¢ deep cuts | No
5414 | ListItem | * cuts that continue bleeding * cuts that may need stitches | No
5415 | ListItem | + burns any larger than a few inches in diameter * scrapes imbedded with particles that won’t wash away | No
5416 | ListItem | + animal bites ¢ deep puncture wounds | No
5417 | ListItem | * eye injuries Never use regular topical antibiotics in the eyes. Special antibiotic products are available for treating eye infections. | No
5418 | NarrativeText | Although topical antibiotics control infections caused by bacteria, they may allow fungal infections to develop. The use of other medicines to treat the fungal infections may be necessary. Check with the physician or pharmacist. | No
5419 | NarrativeText | Some people may be allergic to one or more ingredi- ents in a topical antibiotic product. If an allergic reaction develops, stop using the product immediately and call a physician. | No
5420 | NarrativeText | No harmful or abnormal effects have been reported in babies whose mothers used topical antibiotics while pregnant or nursing. However, pregnant women generally are advised not to use any drugs during the first 3 months after conception. A woman who is pregnant or breastfeed- KEY TERMS Bacteria—Tiny, one-celled forms of life that cause many diseases and infections. | No
5421 | NarrativeText | Conception—The union of egg and sperm to form a fetus. | No
5422 | NarrativeText | Fungal—Caused by a fungus. | No
5423 | NarrativeText | Fungus—A member of a group of simple organ- isms that are related to yeast and molds. | No
5424 | NarrativeText | Incontinence—The inability to control the bladder or bowel. | No
5425 | NarrativeText | Inflammation—Pain, redness, swelling, and heat that usually develop in response to injury or illness. | No
5426 | NarrativeText | ing or who plans to become pregnant should check with her physician before using a topical antibiotic. | No
5427 | NarrativeText | Unless a physician says to do so, do not use topical antibiotics on children under two years of age. | No
5428 | Title | Side effects | No
5429 | NarrativeText | The most common minor side effects are itching or burning. These problems usually do not require medical treatment unless they do not go away or they interfere with normal activities. | No
5430 | NarrativeText | If any of the following side effects occur, check with a doctor as soon as possible: «rash * swelling of the lips and face | No
5431 | ListItem | * sweating * tightness or discomfort in the chest | No
5432 | ListItem | + breathing problems + fainting or dizziness | No
5433 | ListItem | + low blood pressure * nausea | No
5434 | ListItem | + diarrhea + hearing loss or ringing in the ears | No
5435 | NarrativeText | Other rare side effects may occur. Anyone who has unusual symptoms after using a topical antibiotic should get in touch with the physician who prescribed or the pharmacist who recommedned the medication. | No
5436 | Title | nteractions | No
5437 | NarrativeText | Using certain topical antibiotics at the same time as hydrocortisone (a topical corticosteroid used to treat inflammation) may hide signs of infection or allergic reaction. Do not use these two medicines at the same time unless told to do so by a health care provider. | No
5438 | NarrativeText | Anyone who is using any other type of prescription or nonprescription (over-the-counter) medicine on the skin should check with a doctor before using a topical antibiotic. | No
5439 | Title | Resources | No
5440 | Title | PERODCALS | No
5441 | ListItem | Farley, Dixie. “Help for Cuts, Scrapes and Burns.” FDA Con- sumer (May 1996):12. | No
5442 | NarrativeText | Nancy Ross-Flanigan | No
5443 | Title | Antibody screening see Blood typing and crossmatching | No
5445 | Title | Definition | No
5446 | NarrativeText | Anticancer, or antineoplastic, drugs are used to treat malignancies, cancerous growths. Drug therapy may be used alone, or in combination with other treatments such as surgery or radiation therapy. | No
5447 | Title | Purpose | No
5448 | NarrativeText | Anticancer drugs are used to control the growth of cancerous cells. Cancer is commonly defined as the uncontrolled growth of cells, with loss of differentiation and commonly, with metastasis, spread of the cancer to other tissues and organs. Cancers are malignant growths. In contrast, benign growths remain encapsulated and grow within a well-defined area. Although benign tumors may be fatal if untreated, due to pressure on essential organs, as in the case of a benign brain tumor, surgery or radiation are the preferred methods of treating growths which have a well defined location. Drug therapy is used when the tumor has spread, or may spread, to all areas of the body. | No
5449 | Title | Description | No
5450 | NarrativeText | Several classes of drugs may be used in cancer treat- ment, depending on the nature of the organ involved. For example, breast cancers are commonly stimulated by estrogens, and may be treated with drugs which inactive the sex hormones. Similarly, prostate cancer may be treated with drugs that inactivate androgens, the male sex hormone. However, the majority of antineoplastic drugs | No
5451 | Title | 246 | No
5452 | Title | KEY TERMS | No
5453 | NarrativeText | Cataract—Clouding of the lens of the eye, leading to poor vision or blindness. | No
5454 | NarrativeText | Impotent—Unable to achieve or maintain an erection of the penis. | No
5455 | NarrativeText | act by interfering with cell growth. Since cancerous cells grow more rapidly than other cells, the drugs target those cells which are in the process of reproducing themselves. As a result, antineoplastic drugs will commonly affect not only the cancerous cells, but others cells that com- monly reproduce quickly, including hair follicles, ovaries and testis, and the blood-forming organs. | No
5456 | NarrativeText | Newer approaches to antineoplastic drug therapy have taken different approaches, including angigenesis— the inhibition of formation of blood vessels feeding the tumor and contributing to tumor growth. Although these approaches hold promise, they are not yet in common use. | No
5457 | NarrativeText | Antineoplastic drugs may be divided into two class- es: cycle specific and non-cycle specific. Cycle specific drugs act only at specific points of the cell’s duplication cycle, such as anaphase or metaphase, while non-cycle specific drugs may act at any point in the cell cycle. In order to gain maximum effect, antineoplastic drugs are commonly used in combinations. | No
5458 | Title | Precautions | No
5459 | NarrativeText | Because antineoplastic agents do not target specific cell types, they have a number of common adverse side effects. Hair loss is common due to the effects on hair fol- licles, and anemia, immune system impairment, and clot- ting problems are caused by destruction of the blood form- ing organs, leading to reduction in the number of red cells, white cells, and platelets. Because of the frequency and severity of these side effects, it is common to administer chemotherapy in cycles, allowing time for recovery from the drug effects before administering the next dose. Doses are often calculated, not on the basis of weight, but rather based on blood counts, in order to avoid dangerous levels of anemia (red cell depletion), neutropenia (white cell deficiency), or thrombocytopenia (platelet deficiency.) | No
5460 | NarrativeText | Nausea and vomiting are among the most common adverse effects of cancer chemotherapy, and in some cases may be severe enough to cause dose reduction or discontinuation of treatment. | No
5461 | NarrativeText | The health professional has many responsibilities in dealing with patients undergoing chemotherapy. The | No
5462 | Title | Anti Cancer Drugs | No
5463 | Table | Generic (Brand Name) Clinical Uses Common Side Effects To Drug Altretamine (Hexalen) Asparaginase (Elspar) Bleomycin (Blenoxane) Busulfan (Myleran) Carboplatin (Paraplatin) Carmustine Chlorambucil (Leukeran) Cisplatin (Platinol) Cladribine (Leustatin) Cyclophosphamide (Cytoxan) Cytarabine (Cytosar-U) Dacarbazine (DTIC-Dome) Diethylstilbestrol (DES) (Stilbestrol) Treatment of advanced ovarian cancer Commonly used in combination with other drugs; refractory acute lymphocytic leukemia Lymphomas, Hodgkin's disease, testicular cancer Chronic granulocytic leukemia Pallilation of ovarian cancer Hodgkin's disease, brain tumors, multiple myeloma, malignant melonoma Chronic lymphocytic leukemia, non-Hodgkin's lymphomas, breast and ovarian cancer Treatment of bladder, ovarian, uterine, testicular, head and neck cancers Hairy cell leukemia Hodgkin's disease, non-Hodgkin's lymphomas, neuroblastoma. Often used with other drugs for breast, ovarian, and lung cancers; acute lymphoblastic leukemia in children; multiple myeloma Leukemias occurring in adults and children Hodgkin's disease, malignant melanoma Breast cancer in post-menopausal Bone marrow depression, nausea and vomiting Liver, kidney, pancreas, CNS abnormalities Hair loss, stomatitis, pulmonary toxicity, hyperpigmentation of skin Bone marrow depression, pulmonary toxicity Bone marrow depression, nausea and vomiting Bone marrow depression, nausea and vomiting, toxic damage to liver Bone marrow depression, excess uric acid in blood Renal toxicity and ototoxicity Bone marrow depression, nausea and vomiting, fever Bone marrow depression, hair loss, nausea and vomiting, inflammation of the bladder Bone marrow depression, nausea and vomiting, diarrhea, stomatitis Bone marrow depression, nausea and vomiting Hair loss, nausea and vomiting, edema, women, prostate cancer Ethinyl estradiol (Estinyl) Advanced breast cancer in Etoposide (VePesid) Acute leukemias, lymphomas, testicular cancer post-menopausal women, prostate cancer excess calcium in blood; feminizing effects in men Excess calcium in blood, anorexia, edema, nausea and vomiting; feminizing effects in men Bone marrow depression, nausea and vomiting, hair loss patient must be well informed of the risks and benefits of chemotherapy, and must be emotionally prepared for the side effects. These may be permanent, and younger patients should be aware of the high risk of sterility after chemotherapy. | No
5464 | NarrativeText | should be alerted to avoid risks of viral contamination, and live virus immunizations are contraindicated until the patient has fully recovered from the effects o: chemotherapy. Similarly, the patient should avoid contact with other people who have recently had live virus immunizations. | No
5465 | NarrativeText | The patient must also know which side effects should be reported to the practitioner, since many adverse effects do not appear until several days after a dose of chemotherapy. When chemotherapy is self- administered, the patient must be familiar with proper use of the drugs, including dose scheduling and avoid- ance of drug-drug and food-drug interactions. | No
5466 | NarrativeText | Appropriate steps should be taken to minimize side effects. These may include administration of antinause- ant medications to reduce nausea and vomiting, main- taining fluid levels to reduce drug toxicity, particularly to the kidneys, or application of a scalp tourniquet to reduce blood flow to the scalp and minimize hair loss due to drug therapy. | No
5467 | NarrativeText | Other precautions which should be emphasized are the risks to pregnant or nursing women. Because antineo- plastic drugs are commonly harmful to the fetus, women of childbearing potential should be cautioned to use two effective methods of birth control while receiving cancer chemotherapy. This also applies if the woman’s male partner is receiving chemotherapy. Breastfeeding should be avoided while the mother is being treated. | No
5468 | NarrativeText | Before prescribing or administering anticancer drugs, health care providers should inquire whether the patient has any of the following conditions: * chickenpox or recent exposure to someone with chick- enpox Patients receiving chemotherapy are also at risk of infections due to reduced white blood counts. While pro- phylactic antibiotics may be useful, the health care pro- fessional should also be sure to use standard precautions, including gowns and gloves when appropriate. Patients | No
5469 | ListItem | + shingles (Herpes zoster) | No
5470 | ListItem | * mouth sores * current or past seizures | No
5471 | Title | Anti Cancer Drugs (continues | No
5472 | Table | Generic (Brand Name) Clinical Uses Common Side Effects To Drug Floxuridine (FUDR) Fludarabine (Fludara) Fluorouracil (5—FU)(Adrucil) Flutamide (Eulexin) Goserelin (Zoladex) Hydroxyurea (Hydrea) Idarubicin (Idamycin) Ifosfamide (Ifex) Leuprolide (Lupron) Levamisole (Ergamisol) Lomustine Mechlorethamine (Mustargen) Medroxyprogesterone (Depo-Provera) Megestrol (Megace) Melphalan (Alkeran) Mercaptopurine (Purinethol) Methotrexate (Mexate) Cancers of the liver, pancreas, Gl and biliary tract, head and neck tumors Chronic lymphocytic leukemia Breast, colon, pancreatic cancer, cancer of the rectum and stomach Advanced prostate cancer Advanced prostate cancer Chronic granulocytic leukemia, malignant melanoma Used in combination with other antileukemic drugs, acute myelogenous leukemia Germ cell testicular cancer Advanced prostate cancer Used in conjunction with Fluorouracil to treat colon cancer Brain tumors, Hodgkin's disease Lung cancer, Hodgkin's disease and non-Hodgkin’s lymphomas Advanced uterine cancer Advanced uterine cancer, breast cancer Multiple myeloma Acute and chronic leukemias Acute lymphoblastic leukemias in children, bone cancer, choriocaricinoma of the testes See Cytarabine Bone marrow depression, nausea and vomiting, fever See Cytarabine Nausea and vomiting, hot flashes, diarrhea, impotence, decreased libido, gynecomastia Pain in bones Bone marrow depression, gastrointestinal irritation See Doxorubicin Bone marrow depression, nausea and vomiting, inflammation of the bladder See Goserelin Diarrhea, dermatitis, nausea and vomiting Bone marrow depression, nausea and vomiting, toxic damage to liver Bone marrow depression, nausea and vomiting May cause edema Masculinizing effects Bone marrow depression, nausea and vomiting Bone marrow depression, nausea, excess uric acid in blood Bone marrow depression, diarrhea, nausea, stomatitis * head injury | No
5473 | Title | Side effects | No
5474 | ListItem | * nerve or muscle disease | No
5475 | Title | Tamoxifen | No
5476 | ListItem | ¢ hearing problems ¢ infection of any kind | No
5477 | ListItem | * gout * colitis | No
5478 | ListItem | + intestine blockage * stomach ulcer | No
5479 | NarrativeText | The anticancer drug tamoxifen (Nolvadex) increases the risk of cancer of the uterus in some women. It also causes cataracts and other eye problems. Women taking this drug may have hot flashes, menstrual changes, geni- tal itching, vaginal discharge, and weight gain. Men who take tamoxifen may lose interest in sex or become impo- tent. Health care providers should keep in close contact with patients to assess the individual risks associated with taking this powerful drug. | No
5480 | ListItem | ¢ kidney stones ¢ kidney disease | No
5481 | ListItem | + liver disease | No
5482 | Title | Other anticancer drugs | No
5483 | ListItem | * current or past alcohol abuse * immune system disease | No
5484 | NarrativeText | These side effects are not common, but could be a sign of a serious problem. Health care providers should immediately be consulted if any of the following occur: + cataracts or other eye problems « black, tarry, or bloody stools | No
5485 | ListItem | + high cholesterol + blood in the urine | No
5486 | ListItem | + diarrhea | No
5487 | Title | Other precautions | No
5488 | ListItem | + fever or chills The anticancer drug methotrexate has additional pre- cautions. Patients should be given advice on the effects of sun exposure and the use of alcohol and pain relievers. | No
5489 | ListItem | * cough or hoarseness « wheezing or shortness of breath | No
5490 | Title | 248 | No
5491 | Title | Anti Cancer Drugs (continues | No
5492 | Table | Generic (Brand Name) Clinical Uses Common Side Effects To Drug Mitomycin (Mutamycin) Bladder, breast, colon, lung, pancreas, rectum cancers, head and neck cancer, malignant melanoma Cancer of the adrenal cortex (inoperable) Acute nonlymphocytic leukemia Mitotane (Lysodren) Mitoxantrone (Novantrone) Paclitaxel (Taxol) Advanced ovarian cancer Pentastatin (Nipent) Hairy cell leukemia unresponsive to alpha-interferon Chronic granulocytic leukemia Testucular tumors Used in adjunct therapy for palliation of symptoms in lymphomas, acute leukemia Hodgkin's disease Hodgkin's disease Islet cell carcinoma of pancreas Advanced breast cancer in post menopausal Acute lymphocytic leukemia in children Breast cancer, Hodgkin's disease, metastatic testicular cancer Acute leukemia, Hodgkin's disease, lymphomas Pipobroman (Vercyte) Plicamycin (Mithracin) Prednisone (Meticorten) Procarbazine (Matulane) Streptozocin (Zanosar) Tamoxifen (Nolvadex) Teniposide (Vumon) Vinblastine (Velban) Vincristine (Oncovin) Bone marrow depression, nausea and vomiting, diarrhea, stomatitis, possible tissue damage Damage to adrenal cortex, nausea, anorexia Cardiac arrhythmias, labored breating, nausea and vomiting, diarrhea, fever, congestive heart failure Bone marrow depression, hair loss, nausea and vomiting, hypotension, allergic reactions, slow heart action, muscle and joint pain Bone marrow depression, fever, skin rash, liver damage, nausea and vomiting Bone marrow depression Toxicity/damage to bone marrow, kidneys, and liver May be toxic to all body systems Bone marrow depression, nausea and vomiting Nausea and vomiting, toxicity to kidneys Nausea and vomiting, ocular toxicity, hot flashes See Etoposide Bone marrow depression, neurotoxicity Constipation, neurotoxicity, possible tissue necrosis * sores in the mouth or on the lips | No
5493 | ListItem | * headache * unusual bleeding or bruising | No
5494 | ListItem | ¢ dark urine ¢ swelling of the face | No
5495 | ListItem | + yellow eyes or skin «red “pinpoint” spots on the skin | No
